,states
0,Connecticut
1,Oklahoma
2,South Carolina
3,West Virginia
4,Alabama
5,Tennessee
6,Louisiana
7,Colorado
8,Missouri
9,Wisconsin
10,Montana
11,Oregon
12,Minnesota
13,New Jersey
14,Wyoming
15,Alaska
16,Utah
17,Massachusetts
18,Pennsylvania
19,Kentucky
20,North Carolina
21,Michigan
22,Kansas
23,New Mexico
24,Indiana
25,Vermont
26,Delaware
27,Illinois
28,Mississippi
29,North Dakota
30,Rhode Island
31,South Dakota
32,Arkansas
33,New Hampshire
34,Virginia
35,Washington
36,Nevada
37,Georgia
38,Iowa
